end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773867660,0,0,0,0,90,90,90,90,,,,,,0,0
1773867720,0,0,0,0,90,90,89,90,90,90,89,90,89,84,84
1773867780,0,11,0,11,90,90,90,90,,,,,,0,84
1773867840,11,11,11,11,90,90,84,84,11,11,11,11,11,1,84
1773867900,11,11,5,5,84,84,50,84,,,,,,0,84
1773867960,5,5,5,5,84,84,84,84,,,,,,0,84
1773868020,5,5,5,5,84,84,84,84,5,5,5,5,5,20,84
1773868200,5,15,5,15,84,84,25,84,25,84,25,84,29,15,99
1773868260,15,51,5,5,84,99,83,99,84,99,5,5,23,136,172
1773868320,5,5,1,5,99,99,99,99,,,,,,0,172
1773868380,5,25,5,16,99,99,99,99,15,99,15,20,73,29,173
1773868440,16,50,16,26,99,99,50,90,26,26,26,26,26,5,178
1773868500,26,95,26,26,90,100,90,100,26,99,26,99,82,166,285
