end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773891960,46,46,1,39,100,100,34,44,36,38,34,34,36,10,10
1773892020,39,44,28,41,44,54,40,46,,,,,,0,10
1773892080,41,42,28,38,46,54,36,43,,,,,,0,10
1773892140,38,51,27,51,43,64,43,56,46,64,45,51,56,58,53
1773892200,51,69,46,69,56,80,56,71,65,66,65,66,66,7,57
1773892260,69,69,39,59,71,79,57,64,65,65,56,58,58,27,57
1773892320,59,62,33,60,64,70,49,67,60,62,59,61,61,9,57
1773892380,60,62,39,60,64,70,54,64,52,63,52,63,62,22,57
1773892440,60,69,40,69,64,75,61,72,64,71,60,71,69,105,159
1773892500,69,76,56,74,72,80,71,79,75,75,75,75,75,12,153
1773892560,74,74,20,43,79,80,44,44,69,69,43,44,49,40,118
1773892620,43,76,42,75,44,80,44,76,49,76,49,75,68,32,131
1773892680,75,83,49,83,76,87,67,87,68,83,68,83,76,62,158
1773892740,83,83,23,41,87,99,28,46,83,83,28,42,53,212,134
1773892800,41,99,23,99,46,100,24,100,33,99,23,99,48,149,234
