end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773957660,13,44,13,40,100,100,37,45,38,45,38,45,42,6,3
1773957720,40,40,20,20,45,56,22,23,27,27,20,22,26,131,109
1773957780,20,31,20,21,23,43,22,26,22,42,22,27,31,49,139
1773957840,21,21,5,11,26,39,12,18,20,20,15,15,18,2,141
1773957900,11,15,0,10,18,36,13,34,15,36,15,34,29,53,154
1773957960,10,10,0,5,34,36,12,28,15,31,15,31,23,4,156
1773958020,5,7,0,3,28,28,6,6,5,5,5,5,5,5,156
1773958080,3,10,0,10,6,20,5,17,5,11,5,10,10,16,170
1773958140,10,21,10,19,17,43,11,26,16,21,10,13,20,91,207
1773958200,19,19,12,12,26,26,17,26,19,19,12,12,14,16,213
1773958260,12,12,3,6,26,37,10,11,15,37,12,12,35,55,264
1773958320,6,7,1,2,11,34,5,33,11,34,2,34,20,52,260
1773958380,2,2,0,0,33,33,1,32,2,32,1,32,2,105,320
1773958440,0,1,0,0,32,32,1,1,1,1,1,1,1,200,515
1773958500,0,0,0,0,1,1,0,0,,,,,,0,515
