end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773920760,13,58,13,51,100,100,54,56,58,58,58,58,58,1,1
1773920820,51,55,21,43,56,79,47,47,,,,,,0,1
1773920880,43,60,27,56,47,79,47,61,57,60,57,60,58,38,25
1773920940,56,65,41,56,61,79,59,59,65,65,64,64,64,10,27
1773921000,56,57,31,55,59,79,55,60,,,,,,0,27
1773921060,55,65,43,65,60,79,58,69,64,69,64,69,65,10,35
1773921120,65,72,56,72,69,79,66,74,65,71,64,71,69,33,29
1773921180,72,72,56,68,74,75,66,72,69,71,69,70,70,20,41
1773921240,68,75,46,75,72,79,70,78,70,75,70,75,74,28,44
1773921300,75,75,52,68,78,79,70,70,73,74,71,71,73,13,57
1773921360,68,76,31,66,70,82,55,70,70,82,60,70,76,178,152
1773921420,66,69,21,65,70,84,42,70,57,69,46,69,58,21,157
1773921480,65,83,40,58,70,92,70,89,71,86,71,86,73,106,249
1773921540,58,97,55,97,89,99,89,99,90,99,90,99,96,22,267
1773921600,97,99,90,90,99,100,99,100,99,99,90,90,95,20,266
