ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-12T23:15:09.924480-07:00,KXXRP15M,KXXRP15M-26APR130215-15,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-12T23:15:09.930375-07:00,KXBTC15M,KXBTC15M-26APR130215-15,no,1,97.1,0.9,yes,false,2.9000000000000057,97.1,2.986612
2026-04-12T23:30:10.221239-07:00,KXETH15M,KXETH15M-26APR130230-30,no,1,98.0,0.0,yes,false,2.0,98.0,2.040816
2026-04-12T23:30:10.231318-07:00,KXBTC15M,KXBTC15M-26APR130230-30,no,1,96.8,0.2,yes,false,3.200000000000003,96.8,3.305785
2026-04-12T23:30:10.232491-07:00,KXSOL15M,KXSOL15M-26APR130230-30,no,1,98.6,0.4,yes,false,1.4000000000000057,98.6,1.419878
2026-04-12T23:45:09.922650-07:00,KXETH15M,KXETH15M-26APR130245-45,no,1,98.7,0.3,no,false,1.2999999999999972,98.7,1.317123
2026-04-12T23:45:09.930630-07:00,KXBTC15M,KXBTC15M-26APR130245-45,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-13T00:08:04.983549-07:00,KXBTC15M,KXBTC15M-26APR130300-00,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T00:08:04.985156-07:00,KXETH15M,KXETH15M-26APR130300-00,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-13T00:15:09.922779-07:00,KXETH15M,KXETH15M-26APR130315-15,no,1,97.6,0.4,no,false,2.4000000000000057,97.6,2.459016
2026-04-13T00:15:09.930336-07:00,KXBTC15M,KXBTC15M-26APR130315-15,no,1,97.89999999999999,1.1,no,true,2.1000000000000085,97.9,2.145046
2026-04-13T00:30:09.871303-07:00,KXETH15M,KXETH15M-26APR130330-30,no,1,98.4,0.6,no,false,1.5999999999999943,98.4,1.626016
2026-04-13T00:30:09.876984-07:00,KXBTC15M,KXBTC15M-26APR130330-30,no,1,97.1,0.9,no,true,2.9000000000000057,97.1,2.986612
2026-04-13T00:45:09.921755-07:00,KXETH15M,KXETH15M-26APR130345-45,no,1,98.5,0.5,yes,false,1.5,98.5,1.522843
2026-04-13T00:45:09.931059-07:00,KXBTC15M,KXBTC15M-26APR130345-45,no,1,98.4,0.6,yes,false,1.5999999999999943,98.4,1.626016
2026-04-13T01:00:09.870639-07:00,KXSOL15M,KXSOL15M-26APR130400-00,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-13T01:00:09.872508-07:00,KXETH15M,KXETH15M-26APR130400-00,no,1,99.0,1.0,yes,true,1.0,99.0,1.010101
2026-04-13T01:00:09.879286-07:00,KXBTC15M,KXBTC15M-26APR130400-00,no,1,98.8,0.2,yes,false,1.2000000000000028,98.8,1.214575
2026-04-13T01:15:09.920302-07:00,KXETH15M,KXETH15M-26APR130415-15,no,1,98.1,0.9,no,false,1.9000000000000057,98.1,1.936799
2026-04-13T01:15:09.930472-07:00,KXBTC15M,KXBTC15M-26APR130415-15,no,1,98.3,0.7,no,false,1.7000000000000028,98.3,1.7294
2026-04-13T01:30:09.871241-07:00,KXETH15M,KXETH15M-26APR130430-30,no,1,98.0,0.0,yes,false,2.0,98.0,2.040816
2026-04-13T01:30:09.878937-07:00,KXBTC15M,KXBTC15M-26APR130430-30,no,1,97.1,0.9,yes,true,2.9000000000000057,97.1,2.986612
2026-04-13T01:45:10.121947-07:00,KXETH15M,KXETH15M-26APR130445-45,no,1,98.0,1.0,no,true,2.0,98.0,2.040816
