ts_local,buy_count,cost_cents,fill_side,pnl_cents,series,contract_cost,percent_gain
2026-03-19T23:15:10.852552-07:00,11,1036.1999999999998,no,63.80000000000018,KXBTC15M,94.2,6.157113
2026-03-20T00:15:10.796757-07:00,3,282.0,no,18.0,KXBTC15M,94.0,6.382979
2026-03-20T02:00:10.800017-07:00,5,471.5,no,28.5,KXBTC15M,94.3,6.044539
2026-03-20T02:15:10.804547-07:00,5,467.0,no,33.0,KXBTC15M,93.4,7.066381
2026-03-20T02:30:10.810277-07:00,22,2069.3999999999996,no,130.60000000000036,KXBTC15M,94.063636,6.311008
2026-03-20T03:00:10.798860-07:00,5,469.49999999999994,no,30.500000000000057,KXBTC15M,93.9,6.496273
2026-03-20T10:45:10.856968-07:00,6,566.8,no,33.200000000000045,KXBTC15M,94.466667,5.857445
2026-03-20T13:30:10.858410-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-20T13:45:10.855893-07:00,6,566.4,no,33.60000000000002,KXBTC15M,94.4,5.932203
2026-03-20T14:15:10.854254-07:00,3,282.59999999999997,no,-282.59999999999997,KXBTC15M,94.2,-100.0
2026-03-20T14:45:10.864791-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-20T17:45:10.800650-07:00,3,284.4,no,15.600000000000023,KXBTC15M,94.8,5.485232
2026-03-20T18:30:10.853985-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-20T20:45:10.854625-07:00,3,282.59999999999997,no,17.400000000000034,KXBTC15M,94.2,6.157113
2026-03-20T23:00:10.858774-07:00,3,280.8,no,19.19999999999999,KXBTC15M,93.6,6.837607
2026-03-21T00:08:31.355718-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-21T00:45:10.848369-07:00,3,292.2,no,7.800000000000011,KXBTC15M,97.4,2.669405
2026-03-21T01:00:10.848843-07:00,3,282.29999999999995,no,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-21T01:00:10.854637-07:00,3,282.29999999999995,no,17.700000000000045,KXSOL15M,94.1,6.269926
2026-03-21T01:30:10.850104-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-21T01:30:10.853209-07:00,3,279.6,no,20.399999999999977,KXSOL15M,93.2,7.296137
2026-03-21T02:30:10.851849-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-21T02:30:10.854536-07:00,3,285.29999999999995,no,14.700000000000045,KXSOL15M,95.1,5.152471
2026-03-21T03:30:10.803276-07:00,3,283.5,no,16.5,KXBTC15M,94.5,5.820106
2026-03-21T03:45:10.892777-07:00,3,285.59999999999997,no,14.400000000000034,KXSOL15M,95.2,5.042017
2026-03-21T04:15:10.786561-07:00,6,558.6,no,41.39999999999998,KXSOL15M,93.1,7.411386
2026-03-21T06:15:10.837430-07:00,6,570.5999999999999,no,29.40000000000009,KXSOL15M,95.1,5.152471
2026-03-21T06:45:10.957687-07:00,3,282.59999999999997,no,17.400000000000034,KXSOL15M,94.2,6.157113
2026-03-21T07:00:10.842701-07:00,3,278.70000000000005,no,21.299999999999955,KXSOL15M,92.9,7.642626
2026-03-21T07:30:10.858837-07:00,3,279.90000000000003,no,20.099999999999966,KXBTC15M,93.3,7.181136
2026-03-21T08:00:11.002004-07:00,3,293.4,no,6.600000000000023,KXBTC15M,97.8,2.249489
2026-03-21T09:15:10.855407-07:00,3,281.7,no,18.30000000000001,KXBTC15M,93.9,6.496273
2026-03-21T10:00:10.845902-07:00,3,285.0,no,15.0,KXSOL15M,95.0,5.263158
2026-03-21T10:00:10.858596-07:00,6,585.0,no,15.0,KXBTC15M,97.5,2.564103
2026-03-21T10:15:10.861442-07:00,3,281.4,no,18.600000000000023,KXBTC15M,93.8,6.609808
2026-03-21T11:00:10.859868-07:00,3,292.2,no,7.800000000000011,KXBTC15M,97.4,2.669405
2026-03-21T12:00:10.840278-07:00,3,282.29999999999995,no,17.700000000000045,KXSOL15M,94.1,6.269926
2026-03-21T12:00:10.859170-07:00,3,292.2,no,7.800000000000011,KXBTC15M,97.4,2.669405
2026-03-21T12:45:10.839830-07:00,3,282.29999999999995,no,17.700000000000045,KXSOL15M,94.1,6.269926
2026-03-21T12:45:10.853161-07:00,6,583.2,no,16.799999999999955,KXBTC15M,97.2,2.880658
2026-03-21T15:00:10.841559-07:00,3,285.29999999999995,no,14.700000000000045,KXSOL15M,95.1,5.152471
2026-03-21T15:00:10.862610-07:00,3,282.29999999999995,no,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-21T15:15:11.059531-07:00,3,285.29999999999995,no,14.700000000000045,KXBTC15M,95.1,5.152471
2026-03-21T16:15:10.857899-07:00,6,570.0,no,30.0,KXBTC15M,95.0,5.263158
2026-03-21T17:00:10.854728-07:00,3,294.29999999999995,no,5.7000000000000455,KXBTC15M,98.1,1.936799
2026-03-21T17:15:11.021461-07:00,3,284.09999999999997,no,15.900000000000034,KXBTC15M,94.7,5.596621
2026-03-21T18:00:10.860407-07:00,3,279.90000000000003,no,20.099999999999966,KXBTC15M,93.3,7.181136
2026-03-21T18:45:10.863966-07:00,6,559.2,no,40.799999999999955,KXBTC15M,93.2,7.296137
2026-03-21T18:45:10.868109-07:00,6,570.3,no,29.700000000000045,KXSOL15M,95.05,5.207785
2026-03-21T20:15:10.872652-07:00,3,279.90000000000003,no,-279.90000000000003,KXBTC15M,93.3,-100.0
2026-03-21T20:15:10.877459-07:00,3,282.0,no,18.0,KXSOL15M,94.0,6.382979
2026-03-21T20:45:10.839657-07:00,3,285.29999999999995,no,14.700000000000045,KXSOL15M,95.1,5.152471
2026-03-21T21:30:10.863376-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-21T22:15:10.848605-07:00,3,273.3,no,26.69999999999999,KXETH15M,91.1,9.769484
2026-03-21T22:15:10.864412-07:00,3,282.29999999999995,no,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-21T22:30:10.859303-07:00,3,281.1,no,18.899999999999977,KXBTC15M,93.7,6.723586
2026-03-21T23:00:10.864858-07:00,3,288.9,no,11.100000000000023,KXBTC15M,96.3,3.84216
2026-03-21T23:15:10.857804-07:00,6,564.5999999999999,no,35.40000000000009,KXBTC15M,94.1,6.269926
2026-03-21T23:45:10.854495-07:00,3,293.1,no,6.899999999999977,KXBTC15M,97.7,2.354145
2026-03-22T00:08:27.111683-07:00,3,282.29999999999995,no,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-22T00:45:10.802459-07:00,3,283.2,no,16.80000000000001,KXBTC15M,94.4,5.932203
2026-03-22T12:15:10.860324-07:00,3,283.79999999999995,no,16.200000000000045,KXBTC15M,94.6,5.708245
2026-03-22T13:00:10.795036-07:00,3,273.0,no,27.0,KXSOL15M,91.0,9.89011
2026-03-22T13:00:10.814130-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
2026-03-22T13:30:10.845642-07:00,3,281.7,no,18.30000000000001,KXSOL15M,93.9,6.496273
2026-03-22T14:00:10.854939-07:00,6,560.4000000000001,no,39.59999999999991,KXBTC15M,93.4,7.066381
2026-03-22T14:15:10.850862-07:00,3,290.7,no,9.300000000000011,KXBTC15M,96.9,3.199174
2026-03-22T15:45:10.862032-07:00,3,282.29999999999995,no,17.700000000000045,KXBTC15M,94.1,6.269926
2026-03-22T16:30:10.885629-07:00,3,276.0,no,24.0,KXSOL15M,92.0,8.695652
2026-03-22T16:30:10.902129-07:00,3,282.59999999999997,no,17.400000000000034,KXBTC15M,94.2,6.157113
2026-03-22T17:00:10.928491-07:00,3,283.79999999999995,no,16.200000000000045,KXBTC15M,94.6,5.708245
2026-03-22T17:45:10.856029-07:00,3,282.9,no,17.100000000000023,KXBTC15M,94.3,6.044539
