end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1770014760,45,46,13,34,100,100,34,38,45,59,14,33,40,513,415
1770014820,34,61,32,55,38,74,36,57,35,73,35,57,46,3542,2949
1770014880,55,61,21,33,57,69,35,37,57,61,21,21,38,3369,5396
1770014940,33,37,12,26,37,45,23,29,37,40,12,29,27,3413,6698
1770015000,26,35,18,21,29,37,21,23,24,36,18,23,24,2291,8235
1770015060,21,25,14,25,23,27,19,27,20,26,18,25,23,1827,9681
1770015120,25,45,24,42,27,50,27,46,29,50,27,42,37,2533,10060
1770015180,42,42,28,33,46,47,33,36,42,45,30,33,37,2058,10669
1770015240,33,50,24,44,36,51,30,45,33,51,29,45,44,5231,8705
1770015300,44,51,36,43,45,55,43,44,45,52,43,47,48,3600,9878
1770015360,43,45,19,19,44,73,20,20,44,73,20,20,49,4614,11645
1770015420,19,47,10,45,20,51,20,48,21,46,10,46,25,3509,13538
1770015480,45,83,45,83,48,84,48,84,51,84,48,83,69,5566,12038
1770015540,83,96,58,68,84,97,66,74,83,97,67,68,87,4895,12093
1770015600,68,99,65,99,74,100,74,100,87,99,65,99,94,4392,14809
