end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766796360,0,53,0,53,67,67,50,55,50,55,50,55,54,6,6
1766796420,53,53,17,35,55,55,39,39,55,55,38,43,49,73,79
1766796480,35,47,28,47,39,57,39,54,39,54,39,54,52,382,449
1766796540,47,58,47,51,54,62,54,60,52,62,52,54,54,73,512
1766796600,51,55,50,51,60,62,58,62,62,62,54,54,60,113,590
1766796660,51,64,50,58,62,66,59,65,59,65,55,55,61,562,1129
1766796720,58,65,50,63,65,68,60,64,65,65,60,64,63,5,1131
1766796780,63,63,50,63,64,68,62,67,64,68,63,64,65,114,1244
1766796840,63,66,50,62,67,68,63,64,63,68,53,68,66,75,1301
1766796900,62,67,50,66,64,68,64,68,68,68,61,61,68,462,1753
1766796960,66,68,50,67,68,80,68,68,68,68,68,68,68,26,1759
1766797020,67,70,50,70,68,75,59,75,59,75,59,75,65,91,1850
1766797080,70,86,61,82,75,92,75,92,75,92,71,92,90,311,2076
1766797140,82,93,61,90,92,99,90,97,92,93,76,90,92,395,2131
1766797200,90,91,90,90,97,100,97,100,98,99,91,99,97,94,2151
