end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1771624860,0,54,0,35,99,99,36,38,50,56,35,35,48,8051,5189
1771624920,35,35,20,25,38,38,23,26,35,38,20,25,26,14174,13502
1771624980,25,35,21,22,26,36,22,26,26,36,21,27,28,10521,21807
1771625040,22,30,20,29,27,31,22,30,26,31,20,30,25,6125,25101
1771625100,29,43,29,37,30,44,30,40,30,44,30,37,40,6962,25702
1771625160,37,44,35,40,40,46,37,43,39,46,35,43,40,4894,26936
1771625220,40,40,12,14,43,43,13,16,40,40,13,14,24,11604,31610
1771625280,14,22,13,13,16,25,14,14,16,22,13,14,15,8362,36073
1771625340,13,16,10,15,14,18,12,16,14,17,11,16,14,8806,39617
1771625400,15,20,11,11,16,21,13,13,17,21,11,11,17,4543,41792
1771625460,11,12,3,3,13,13,4,5,12,12,3,5,6,14622,46516
1771625520,3,5,1,1,5,7,2,2,3,7,1,1,2,16809,54951
1771625580,1,1,0,0,2,2,1,1,1,2,1,1,1,8907,62117
1771625640,0,0,0,0,1,1,1,1,1,1,1,1,1,558,62628
1771625700,0,0,0,0,1,1,1,1,1,1,1,1,1,2694,63839
