end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772379060,1,56,1,56,100,100,44,59,47,59,40,56,54,5097,3465
1772379120,56,60,48,50,59,61,50,53,56,61,48,53,55,4749,6623
1772379180,50,51,47,47,53,53,48,48,50,53,47,47,51,1528,7736
1772379240,47,61,47,60,48,64,48,61,48,64,48,59,56,4229,10127
1772379300,60,72,58,70,61,73,59,71,60,73,58,70,67,5164,11402
1772379360,70,82,70,74,71,83,71,75,71,83,70,75,77,8100,14647
1772379420,74,77,67,67,75,79,68,68,75,79,67,67,74,5090,17522
1772379480,67,67,49,61,68,68,51,62,67,67,49,62,58,8108,19841
1772379540,61,65,54,55,62,66,56,56,62,66,55,56,62,5268,23028
1772379600,55,87,53,86,56,88,55,87,55,88,53,86,74,12796,25046
1772379660,86,86,70,86,87,88,72,87,87,88,70,87,80,9350,27801
1772379720,86,94,86,92,87,95,87,93,86,95,86,92,92,11575,30094
1772379780,92,94,86,94,93,95,87,95,93,95,86,93,91,9094,33285
1772379840,94,99,94,99,95,100,95,100,94,99,94,99,97,19394,39882
1772379900,99,99,99,99,100,100,100,100,99,99,99,99,99,5496,41272
