end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1771077660,30,54,30,54,100,100,53,55,54,55,50,54,52,738,616
1771077720,54,57,53,56,55,59,55,59,54,59,54,59,57,2115,2169
1771077780,56,58,25,44,59,59,26,46,56,59,26,44,37,14485,9588
1771077840,44,57,44,49,46,59,46,51,44,58,44,51,52,4141,12211
1771077900,49,62,48,62,51,63,50,63,50,62,48,62,53,3051,13048
1771077960,62,68,36,47,63,70,38,49,63,68,36,49,51,15633,20673
1771078020,47,65,46,63,49,66,49,65,46,66,46,63,59,3206,21359
1771078080,63,64,33,43,65,67,38,44,61,65,38,46,45,16804,23105
1771078140,40,42,22,27,44,44,26,29,43,43,24,27,34,15505,28160
1771078200,27,48,27,35,29,49,29,37,29,49,27,36,41,3436,29210
1771078260,35,46,34,46,37,48,37,47,37,47,35,47,43,3584,30612
1771078320,46,50,31,31,47,51,33,33,47,51,32,32,44,2191,31098
1771078380,31,49,27,49,33,50,29,50,31,50,28,50,35,5306,30775
1771078440,49,83,46,83,50,85,47,85,50,85,47,85,69,15178,33294
1771078500,83,99,82,99,85,100,85,100,85,99,82,99,96,16710,37007
