end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767262560,0,30,0,27,45,45,28,28,45,45,28,28,30,20,20
1767262620,27,28,12,23,28,30,25,27,27,27,23,26,25,229,229
1767262680,23,25,13,16,27,30,19,20,26,26,13,18,21,160,389
1767262740,16,16,15,15,20,24,19,19,,,,,,0,389
1767262800,15,15,14,14,19,19,18,18,18,18,18,18,18,13,389
1767262860,14,14,1,8,18,24,9,10,14,14,8,8,12,4,393
1767262920,8,8,1,4,10,10,5,5,5,5,5,5,5,24,417
1767262980,4,9,1,5,5,14,5,6,,,,,,0,417
1767263040,5,5,2,2,6,12,4,4,5,5,5,5,5,5,417
1767263100,2,2,1,1,4,5,3,3,,,,,,0,417
1767263160,1,1,0,0,3,3,2,2,1,2,1,2,1,216,396
1767263220,0,6,0,2,2,13,2,5,1,6,1,6,5,205,403
1767263280,2,4,0,0,5,13,2,2,,,,,,0,403
1767263340,0,0,0,0,2,2,2,2,2,2,2,2,2,1,403
1767263400,0,0,0,0,2,30,2,30,2,30,2,30,5,35,431
