end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772410560,0,50,0,18,50,51,20,20,48,51,9,18,20,16019,12294
1772410620,18,18,6,13,20,20,11,14,18,18,7,13,11,21006,30111
1772410680,13,18,11,17,14,21,12,18,13,20,11,18,15,7955,31554
1772410740,17,28,11,19,18,29,13,20,18,28,11,18,19,8373,35234
1772410800,19,21,14,21,20,23,15,23,20,22,14,21,18,5932,37860
1772410860,21,32,21,24,23,35,22,26,22,34,21,26,28,9690,40406
1772410920,24,24,9,10,26,26,10,11,24,26,9,11,15,6234,42032
1772410980,10,24,9,20,11,25,11,21,11,25,9,20,19,4462,42647
1772411040,20,28,11,25,21,29,13,26,21,29,12,26,18,5580,44375
1772411100,25,48,23,40,26,49,25,41,26,49,24,39,36,15386,45523
1772411160,40,50,28,50,41,52,30,52,42,52,28,49,36,15863,47193
1772411220,50,56,13,16,52,58,15,17,52,57,13,17,36,14629,45237
1772411280,16,16,1,1,17,17,2,2,17,17,1,1,7,41063,58671
1772411340,1,1,0,0,2,2,1,1,1,2,1,1,1,13494,61795
1772411400,0,0,0,0,1,1,1,1,1,1,1,1,1,4963,66573
