end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767535260,0,47,0,44,50,50,45,45,47,47,44,44,45,94,94
1767535320,44,55,39,55,45,68,44,58,44,58,44,55,50,144,97
1767535380,55,67,55,59,58,81,58,63,58,64,58,60,61,120,182
1767535440,59,65,51,64,63,76,56,69,61,69,55,69,59,184,234
1767535500,64,64,51,51,69,69,52,53,63,65,52,52,60,93,281
1767535560,51,52,50,50,53,55,51,55,51,55,50,51,51,33,285
1767535620,50,53,50,52,55,66,52,53,54,66,51,52,56,180,408
1767535680,52,87,52,87,53,88,53,88,53,84,53,84,68,166,432
1767535740,87,90,79,81,88,91,82,82,88,91,80,80,87,252,530
1767535800,81,94,81,94,82,95,82,95,84,95,84,95,92,166,551
1767535860,94,98,94,98,95,100,95,100,95,99,95,99,98,212,585
1767535920,98,99,98,99,100,100,100,100,,,,,,0,585
1767535980,99,99,99,99,100,100,100,100,,,,,,0,585
1767536040,99,99,98,98,100,100,100,100,,,,,,0,585
1767536100,98,99,98,99,100,100,100,100,,,,,,0,585
