end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1771848060,1,51,1,45,100,100,41,46,50,53,40,46,45,1922,1377
1771848120,45,56,45,54,46,57,46,56,46,57,45,53,53,3159,3849
1771848180,54,54,40,41,56,56,42,42,56,56,40,42,47,4697,5139
1771848240,41,49,35,36,42,50,37,39,42,50,35,39,44,3448,7392
1771848300,36,50,36,42,39,51,39,44,39,51,38,42,45,3346,9037
1771848360,42,51,38,50,44,55,39,51,44,51,38,50,44,6166,11057
1771848420,50,50,30,31,51,51,32,33,51,51,31,33,37,4839,12289
1771848480,31,56,31,56,33,57,33,57,33,56,33,56,44,2710,12002
1771848540,56,80,56,75,57,81,57,77,56,81,56,75,74,9112,14515
1771848600,75,75,38,39,77,79,39,40,77,78,39,39,54,4903,15733
1771848660,39,58,39,55,40,64,40,57,39,64,39,57,53,4539,16568
1771848720,55,67,48,54,57,68,56,56,57,68,48,57,60,6522,15590
1771848780,54,73,54,73,56,75,56,75,54,74,54,73,62,4402,16271
1771848840,73,87,54,79,75,89,67,81,73,88,54,81,77,10194,21980
1771848900,79,99,65,99,81,100,77,100,81,99,71,99,93,13947,23009
