end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772950560,1,59,1,57,100,100,51,58,52,60,50,57,52,7290,5806
1772950620,57,66,56,58,58,68,58,61,58,67,56,58,61,4452,8362
1772950680,58,63,57,60,61,64,59,62,58,64,57,60,60,3497,10437
1772950740,60,68,58,63,62,72,60,65,62,72,58,63,63,3235,12078
1772950800,63,67,26,33,65,69,27,36,63,69,26,36,49,7757,13669
1772950860,33,50,29,50,36,53,30,53,36,53,30,52,43,3540,14840
1772950920,50,65,50,62,53,68,53,65,53,66,51,62,60,5028,17243
1772950980,62,72,49,71,65,75,51,72,62,75,49,72,61,4379,18741
1772951040,71,78,64,68,72,81,68,71,71,80,67,68,74,4940,19741
1772951100,68,68,55,63,71,77,62,64,70,77,55,63,68,5540,21133
1772951160,63,70,61,70,64,74,64,72,63,72,62,70,68,3003,20758
1772951220,70,70,43,56,72,73,45,59,72,73,44,59,58,8532,21404
1772951280,56,62,29,36,59,64,39,40,56,64,29,29,52,8855,25284
1772951340,36,37,1,1,40,40,2,2,37,38,1,2,9,32605,32001
1772951400,1,1,0,0,2,2,1,1,1,2,1,1,1,6737,36012
