end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773641760,1,74,1,64,100,100,52,65,51,75,51,64,66,12289,6930
1773641820,64,69,62,65,65,70,63,66,65,70,62,67,65,12226,16208
1773641880,65,67,60,64,66,68,61,65,67,67,61,64,65,4759,18271
1773641940,64,74,56,74,65,75,58,75,65,74,57,74,65,5159,19191
1773642000,74,85,73,82,75,86,75,83,75,86,73,82,81,13136,24056
1773642060,82,82,65,72,83,83,66,74,82,82,66,74,73,7501,25593
1773642120,72,87,72,86,74,88,73,87,72,88,72,87,82,7247,27698
1773642180,86,93,86,93,87,94,87,94,87,94,86,94,91,10571,30114
1773642240,93,93,89,91,94,94,90,93,93,94,89,93,92,9741,33724
1773642300,91,95,91,93,93,96,93,95,91,96,91,95,94,8732,36056
1773642360,93,99,93,99,95,100,94,100,93,99,93,99,97,27332,47517
1773642420,99,99,98,98,100,100,99,99,99,99,98,98,99,19444,57098
1773642480,98,98,96,98,99,99,98,99,99,99,97,98,98,17807,65210
1773642540,98,99,96,99,99,100,97,100,98,99,96,99,98,16786,70947
1773642600,99,99,99,99,100,100,100,100,99,99,99,99,99,4864,75716
