end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773145860,0,58,0,33,99,99,31,34,53,53,30,34,42,12488,9758
1773145920,33,44,33,36,34,45,34,38,33,45,33,38,39,9191,14931
1773145980,36,48,35,46,38,49,37,47,38,49,35,46,45,7400,19486
1773146040,46,52,44,48,47,53,45,50,48,53,44,48,49,4020,19867
1773146100,48,53,47,52,50,54,48,53,49,54,47,52,50,3141,19280
1773146160,52,79,52,74,53,80,53,75,53,79,53,75,65,7881,20330
1773146220,74,74,58,59,75,76,59,60,74,75,59,59,70,7988,18099
1773146280,59,65,53,61,60,67,54,62,59,67,53,61,59,5480,18082
1773146340,61,84,59,81,62,86,60,82,61,86,59,82,78,8652,18834
1773146400,81,83,72,78,82,84,74,79,81,84,72,79,78,5978,18906
1773146460,78,80,55,77,79,81,56,78,78,81,56,76,67,5218,19248
1773146520,77,88,77,82,78,89,78,83,77,89,77,83,85,7881,22183
1773146580,82,95,82,95,83,96,83,96,84,96,83,95,93,17959,32324
1773146640,95,98,93,98,96,99,94,99,96,99,93,98,97,12753,39447
1773146700,98,99,97,99,99,100,99,100,99,99,97,99,99,10129,44445
