end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1768273260,7,45,7,43,100,100,43,44,45,47,43,44,45,103,103
1768273320,43,44,29,44,44,48,32,45,44,45,30,45,37,3981,3790
1768273380,44,51,37,49,45,64,38,51,45,52,37,51,45,2996,6374
1768273440,49,49,38,39,51,52,41,42,51,52,39,42,47,1205,7304
1768273500,39,46,37,46,42,48,40,48,39,48,38,48,42,268,7438
1768273560,46,57,45,53,48,59,47,56,47,59,46,56,52,787,7635
1768273620,53,54,38,50,56,58,39,51,55,57,38,55,47,429,7868
1768273680,50,55,33,33,51,56,34,34,51,56,33,34,51,1499,9083
1768273740,33,33,16,19,34,37,19,20,33,33,19,19,25,399,9191
1768273800,19,20,13,15,20,22,15,17,19,21,14,19,17,582,9015
1768273860,15,78,13,78,17,80,16,79,15,79,15,79,43,7168,7507
1768273920,78,84,50,69,79,87,70,70,79,87,54,70,76,896,7715
1768273980,69,93,51,93,70,94,60,94,70,93,51,93,76,4319,8135
1768274040,93,99,93,99,94,100,94,100,94,99,94,99,99,1799,7859
1768274100,99,99,99,99,100,100,100,100,99,99,99,99,99,101,7860
