end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1769243460,2,64,2,50,100,100,51,53,63,67,50,50,54,50,50
1769243520,50,50,41,46,53,53,47,48,50,52,46,48,49,409,395
1769243580,46,47,45,46,48,50,47,49,47,49,45,49,47,146,538
1769243640,46,48,41,48,49,54,48,51,48,54,45,51,49,173,595
1769243700,48,49,45,48,51,55,51,51,51,52,45,45,49,65,630
1769243760,48,48,46,47,51,51,48,50,48,51,46,47,49,165,714
1769243820,47,49,46,47,50,50,49,50,50,50,48,48,50,20,715
1769243880,47,57,47,57,50,62,49,61,47,58,47,57,55,547,965
1769243940,57,84,57,83,61,89,61,86,61,89,61,84,78,768,1438
1769244000,83,87,76,87,86,95,85,89,86,95,79,86,87,732,1631
1769244060,87,92,84,90,89,93,89,93,87,92,84,91,88,511,1921
1769244120,90,95,83,93,93,98,86,96,90,95,84,93,91,1038,2558
1769244180,93,97,91,94,96,98,92,97,93,97,91,97,96,985,3371
1769244240,94,98,94,98,97,99,97,99,97,99,94,99,98,492,3604
1769244300,98,99,98,99,99,100,99,100,98,99,98,99,99,100,3644
