end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1769694360,20,51,20,49,100,100,47,52,47,51,47,49,51,210,210
1769694420,49,55,49,55,52,57,51,57,52,57,49,57,55,296,454
1769694480,55,57,49,49,57,59,50,50,57,58,49,49,55,540,688
1769694540,49,49,40,43,50,51,42,44,49,49,40,41,44,502,880
1769694600,43,43,40,40,44,51,42,44,43,46,40,46,43,444,1141
1769694660,40,46,30,36,44,49,31,37,43,46,30,37,36,1297,1742
1769694720,36,36,27,28,37,37,29,30,36,37,27,29,31,1396,2557
1769694780,28,28,20,20,30,31,22,24,29,30,20,24,25,2544,4119
1769694840,20,20,2,2,24,29,3,3,23,23,3,3,12,1488,4792
1769694900,2,9,2,6,3,16,3,8,4,16,3,5,8,3163,6435
1769694960,6,7,2,2,8,15,4,4,7,15,2,2,7,3912,7262
1769695020,2,2,0,1,4,4,2,2,2,2,1,2,1,3209,8591
1769695080,1,1,0,0,2,2,1,1,1,2,1,1,1,2177,10542
1769695140,0,1,0,0,1,7,1,1,1,7,1,1,1,5582,14635
1769695200,0,0,0,0,1,1,1,1,1,1,1,1,1,300,14935
