end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1770145260,1,60,1,52,100,100,47,55,45,61,17,56,56,1813,1452
1770145320,52,53,30,30,55,55,31,31,52,53,30,31,44,6962,6507
1770145380,30,33,24,30,31,38,25,32,30,35,25,32,30,5068,10524
1770145440,30,51,27,40,32,52,30,42,30,51,30,42,42,3634,12477
1770145500,40,51,39,40,42,53,41,42,41,52,41,42,45,2068,12163
1770145560,40,57,31,57,42,61,36,60,40,61,36,61,47,1893,12943
1770145620,57,85,56,84,60,87,59,86,57,86,57,85,80,3789,12431
1770145680,84,87,74,81,86,88,76,82,85,88,76,80,82,3114,12909
1770145740,81,88,79,88,82,89,82,89,81,88,80,87,86,2626,12313
1770145800,88,94,82,93,89,96,85,95,89,96,85,93,92,3375,13245
1770145860,93,98,91,97,95,99,95,98,95,99,91,98,97,6551,14780
1770145920,97,99,96,99,98,100,97,100,97,99,96,99,98,1779,14917
1770145980,99,99,99,99,100,100,100,100,99,99,99,99,99,155,14854
1770146040,99,99,99,99,100,100,100,100,99,99,99,99,99,482,15331
1770146100,99,99,99,99,100,100,100,100,99,99,99,99,99,570,15841
