end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767797160,41,60,0,60,100,100,47,65,47,65,47,65,59,42,39
1767797220,60,67,51,63,65,80,63,65,60,67,60,63,64,142,109
1767797280,63,68,62,66,65,71,64,69,64,68,64,65,66,122,204
1767797340,66,72,56,67,69,85,59,71,69,72,61,68,68,321,373
1767797400,67,70,54,54,71,79,57,57,70,79,54,54,68,447,661
1767797460,54,66,46,62,57,72,50,63,53,66,50,63,56,553,672
1767797520,62,66,41,58,63,69,45,59,63,66,45,58,54,388,674
1767797580,58,67,55,67,59,70,59,70,58,70,56,70,62,280,717
1767797640,67,82,62,82,70,85,64,83,68,83,65,83,74,725,1038
1767797700,82,83,72,77,83,89,75,81,82,89,75,80,81,785,1549
1767797760,77,96,74,96,81,97,81,97,78,97,78,96,92,503,1506
1767797820,96,97,95,97,97,99,96,99,97,97,95,97,97,243,1476
1767797880,97,97,93,95,99,100,94,97,99,99,93,93,96,1004,1757
1767797940,95,99,94,99,97,100,97,100,97,99,97,99,98,167,1885
1767798000,99,99,99,99,100,100,100,100,,,,,,0,1885
