ticker,result,open_time,close_time
KXBTC15M-26MAR190600-00,yes,2026-03-19T09:45:00Z,2026-03-19T10:00:00Z
KXBTC15M-26MAR190545-45,yes,2026-03-19T09:30:00Z,2026-03-19T09:45:00Z
KXBTC15M-26MAR190530-30,yes,2026-03-19T09:15:00Z,2026-03-19T09:30:00Z
KXBTC15M-26MAR190515-15,yes,2026-03-19T09:00:00Z,2026-03-19T09:15:00Z
KXBTC15M-26MAR190200-00,no,2026-03-19T05:45:00Z,2026-03-19T06:00:00Z
KXBTC15M-26MAR190145-45,yes,2026-03-19T05:30:00Z,2026-03-19T05:45:00Z
KXBTC15M-26MAR190130-30,no,2026-03-19T05:15:00Z,2026-03-19T05:30:00Z
KXBTC15M-26MAR190115-15,no,2026-03-19T05:00:00Z,2026-03-19T05:15:00Z
KXBTC15M-26MAR190100-00,yes,2026-03-19T04:45:00Z,2026-03-19T05:00:00Z
KXBTC15M-26MAR190045-45,yes,2026-03-19T04:30:00Z,2026-03-19T04:45:00Z
KXBTC15M-26MAR190030-30,no,2026-03-19T04:15:00Z,2026-03-19T04:30:00Z
KXBTC15M-26MAR190015-15,no,2026-03-19T04:00:00Z,2026-03-19T04:15:00Z
KXBTC15M-26MAR190000-00,no,2026-03-19T03:45:00Z,2026-03-19T04:00:00Z
KXBTC15M-26MAR182345-45,no,2026-03-19T03:30:00Z,2026-03-19T03:45:00Z
KXBTC15M-26MAR182330-30,yes,2026-03-19T03:15:00Z,2026-03-19T03:30:00Z
KXBTC15M-26MAR182315-15,yes,2026-03-19T03:00:00Z,2026-03-19T03:15:00Z
KXBTC15M-26MAR182300-00,no,2026-03-19T02:45:00Z,2026-03-19T03:00:00Z
KXBTC15M-26MAR182245-45,no,2026-03-19T02:30:00Z,2026-03-19T02:45:00Z
KXBTC15M-26MAR182230-30,yes,2026-03-19T02:15:00Z,2026-03-19T02:30:00Z
KXBTC15M-26MAR182215-15,yes,2026-03-19T02:00:00Z,2026-03-19T02:15:00Z
KXBTC15M-26MAR182200-00,no,2026-03-19T01:45:00Z,2026-03-19T02:00:00Z
KXBTC15M-26MAR182145-45,yes,2026-03-19T01:30:00Z,2026-03-19T01:45:00Z
KXBTC15M-26MAR182130-30,yes,2026-03-19T01:15:00Z,2026-03-19T01:30:00Z
KXBTC15M-26MAR182115-15,no,2026-03-19T01:00:00Z,2026-03-19T01:15:00Z
KXBTC15M-26MAR182100-00,no,2026-03-19T00:45:00Z,2026-03-19T01:00:00Z
KXBTC15M-26MAR182045-45,no,2026-03-19T00:30:00Z,2026-03-19T00:45:00Z
KXBTC15M-26MAR182030-30,yes,2026-03-19T00:15:00Z,2026-03-19T00:30:00Z
KXBTC15M-26MAR182015-15,no,2026-03-19T00:00:00Z,2026-03-19T00:15:00Z
KXBTC15M-26MAR182000-00,no,2026-03-18T23:45:00Z,2026-03-19T00:00:00Z
KXBTC15M-26MAR181945-45,yes,2026-03-18T23:30:00Z,2026-03-18T23:45:00Z
KXBTC15M-26MAR181930-30,yes,2026-03-18T23:15:00Z,2026-03-18T23:30:00Z
KXBTC15M-26MAR181915-15,yes,2026-03-18T23:00:00Z,2026-03-18T23:15:00Z
KXBTC15M-26MAR181900-00,yes,2026-03-18T22:45:00Z,2026-03-18T23:00:00Z
KXBTC15M-26MAR181845-45,no,2026-03-18T22:30:00Z,2026-03-18T22:45:00Z
KXBTC15M-26MAR181830-30,yes,2026-03-18T22:15:00Z,2026-03-18T22:30:00Z
KXBTC15M-26MAR181815-15,no,2026-03-18T22:00:00Z,2026-03-18T22:15:00Z
KXBTC15M-26MAR181800-00,no,2026-03-18T21:45:00Z,2026-03-18T22:00:00Z
KXBTC15M-26MAR181745-45,yes,2026-03-18T21:30:00Z,2026-03-18T21:45:00Z
KXBTC15M-26MAR181730-30,no,2026-03-18T21:15:00Z,2026-03-18T21:30:00Z
KXBTC15M-26MAR181715-15,yes,2026-03-18T21:00:00Z,2026-03-18T21:15:00Z
KXBTC15M-26MAR181700-00,yes,2026-03-18T20:45:00Z,2026-03-18T21:00:00Z
KXBTC15M-26MAR181645-45,yes,2026-03-18T20:30:00Z,2026-03-18T20:45:00Z
KXBTC15M-26MAR181630-30,yes,2026-03-18T20:15:00Z,2026-03-18T20:30:00Z
KXBTC15M-26MAR181615-15,no,2026-03-18T20:00:00Z,2026-03-18T20:15:00Z
KXBTC15M-26MAR181600-00,no,2026-03-18T19:45:00Z,2026-03-18T20:00:00Z
KXBTC15M-26MAR181545-45,no,2026-03-18T19:30:00Z,2026-03-18T19:45:00Z
KXBTC15M-26MAR181530-30,no,2026-03-18T19:15:00Z,2026-03-18T19:30:00Z
KXBTC15M-26MAR181515-15,yes,2026-03-18T19:00:00Z,2026-03-18T19:15:00Z
KXBTC15M-26MAR181500-00,no,2026-03-18T18:45:00Z,2026-03-18T19:00:00Z
KXBTC15M-26MAR181445-45,no,2026-03-18T18:30:00Z,2026-03-18T18:45:00Z
KXBTC15M-26MAR181430-30,no,2026-03-18T18:15:00Z,2026-03-18T18:30:00Z
KXBTC15M-26MAR181415-15,yes,2026-03-18T18:00:00Z,2026-03-18T18:15:00Z
KXBTC15M-26MAR181400-00,yes,2026-03-18T17:45:00Z,2026-03-18T18:00:00Z
KXBTC15M-26MAR181345-45,yes,2026-03-18T17:30:00Z,2026-03-18T17:45:00Z
KXBTC15M-26MAR181330-30,yes,2026-03-18T17:15:00Z,2026-03-18T17:30:00Z
KXBTC15M-26MAR181315-15,no,2026-03-18T17:00:00Z,2026-03-18T17:15:00Z
KXBTC15M-26MAR181300-00,yes,2026-03-18T16:45:00Z,2026-03-18T17:00:00Z
KXBTC15M-26MAR181245-45,yes,2026-03-18T16:30:00Z,2026-03-18T16:45:00Z
KXBTC15M-26MAR181230-30,no,2026-03-18T16:15:00Z,2026-03-18T16:30:00Z
KXBTC15M-26MAR181215-15,no,2026-03-18T16:00:00Z,2026-03-18T16:15:00Z
KXBTC15M-26MAR181200-00,yes,2026-03-18T15:45:00Z,2026-03-18T16:00:00Z
KXBTC15M-26MAR181145-45,yes,2026-03-18T15:30:00Z,2026-03-18T15:45:00Z
KXBTC15M-26MAR181130-30,yes,2026-03-18T15:15:00Z,2026-03-18T15:30:00Z
KXBTC15M-26MAR181115-15,no,2026-03-18T15:00:00Z,2026-03-18T15:15:00Z
KXBTC15M-26MAR181100-00,no,2026-03-18T14:45:00Z,2026-03-18T15:00:00Z
KXBTC15M-26MAR181045-45,no,2026-03-18T14:30:00Z,2026-03-18T14:45:00Z
KXBTC15M-26MAR181030-30,no,2026-03-18T14:15:00Z,2026-03-18T14:30:00Z
KXBTC15M-26MAR181015-15,no,2026-03-18T14:00:00Z,2026-03-18T14:15:00Z
KXBTC15M-26MAR181000-00,no,2026-03-18T13:45:00Z,2026-03-18T14:00:00Z
KXBTC15M-26MAR180945-45,no,2026-03-18T13:30:00Z,2026-03-18T13:45:00Z
KXBTC15M-26MAR180930-30,yes,2026-03-18T13:15:00Z,2026-03-18T13:30:00Z
KXBTC15M-26MAR180915-15,yes,2026-03-18T13:00:00Z,2026-03-18T13:15:00Z
KXBTC15M-26MAR180900-00,no,2026-03-18T12:45:00Z,2026-03-18T13:00:00Z
KXBTC15M-26MAR180845-45,no,2026-03-18T12:30:00Z,2026-03-18T12:45:00Z
KXBTC15M-26MAR180830-30,yes,2026-03-18T12:15:00Z,2026-03-18T12:30:00Z
KXBTC15M-26MAR180815-15,no,2026-03-18T12:00:00Z,2026-03-18T12:15:00Z
KXBTC15M-26MAR180800-00,no,2026-03-18T11:45:00Z,2026-03-18T12:00:00Z
KXBTC15M-26MAR180745-45,no,2026-03-18T11:30:00Z,2026-03-18T11:45:00Z
KXBTC15M-26MAR180730-30,no,2026-03-18T11:15:00Z,2026-03-18T11:30:00Z
KXBTC15M-26MAR180715-15,yes,2026-03-18T11:00:00Z,2026-03-18T11:15:00Z
KXBTC15M-26MAR180700-00,yes,2026-03-18T10:45:00Z,2026-03-18T11:00:00Z
KXBTC15M-26MAR180645-45,no,2026-03-18T10:30:00Z,2026-03-18T10:45:00Z
KXBTC15M-26MAR180630-30,no,2026-03-18T10:15:00Z,2026-03-18T10:30:00Z
KXBTC15M-26MAR180615-15,yes,2026-03-18T10:00:00Z,2026-03-18T10:15:00Z
KXBTC15M-26MAR180600-00,no,2026-03-18T09:45:00Z,2026-03-18T10:00:00Z
KXBTC15M-26MAR180545-45,yes,2026-03-18T09:30:00Z,2026-03-18T09:45:00Z
KXBTC15M-26MAR180530-30,no,2026-03-18T09:15:00Z,2026-03-18T09:30:00Z
KXBTC15M-26MAR180515-15,yes,2026-03-18T09:00:00Z,2026-03-18T09:15:00Z
KXBTC15M-26MAR180500-00,no,2026-03-18T08:45:00Z,2026-03-18T09:00:00Z
KXBTC15M-26MAR180445-45,yes,2026-03-18T08:30:00Z,2026-03-18T08:45:00Z
KXBTC15M-26MAR180430-30,yes,2026-03-18T08:15:00Z,2026-03-18T08:30:00Z
KXBTC15M-26MAR180415-15,yes,2026-03-18T08:00:00Z,2026-03-18T08:15:00Z
KXBTC15M-26MAR180400-00,yes,2026-03-18T07:45:00Z,2026-03-18T08:00:00Z
KXBTC15M-26MAR180345-45,no,2026-03-18T07:30:00Z,2026-03-18T07:45:00Z
KXBTC15M-26MAR180330-30,no,2026-03-18T07:15:00Z,2026-03-18T07:30:00Z
KXBTC15M-26MAR180315-15,no,2026-03-18T07:00:00Z,2026-03-18T07:15:00Z
KXBTC15M-26MAR180300-00,no,2026-03-18T06:45:00Z,2026-03-18T07:00:00Z
KXBTC15M-26MAR180245-45,no,2026-03-18T06:30:00Z,2026-03-18T06:45:00Z
KXBTC15M-26MAR180230-30,yes,2026-03-18T06:15:00Z,2026-03-18T06:30:00Z
KXBTC15M-26MAR180215-15,yes,2026-03-18T06:00:00Z,2026-03-18T06:15:00Z
KXBTC15M-26MAR180200-00,no,2026-03-18T05:45:00Z,2026-03-18T06:00:00Z
KXBTC15M-26MAR180145-45,no,2026-03-18T05:30:00Z,2026-03-18T05:45:00Z
KXBTC15M-26MAR180130-30,no,2026-03-18T05:15:00Z,2026-03-18T05:30:00Z
KXBTC15M-26MAR180115-15,yes,2026-03-18T05:00:00Z,2026-03-18T05:15:00Z
KXBTC15M-26MAR180100-00,no,2026-03-18T04:45:00Z,2026-03-18T05:00:00Z
KXBTC15M-26MAR180045-45,no,2026-03-18T04:30:00Z,2026-03-18T04:45:00Z
KXBTC15M-26MAR180030-30,no,2026-03-18T04:15:00Z,2026-03-18T04:30:00Z
KXBTC15M-26MAR180015-15,no,2026-03-18T04:00:00Z,2026-03-18T04:15:00Z
KXBTC15M-26MAR180000-00,no,2026-03-18T03:45:00Z,2026-03-18T04:00:00Z
KXBTC15M-26MAR172345-45,no,2026-03-18T03:30:00Z,2026-03-18T03:45:00Z
KXBTC15M-26MAR172330-30,yes,2026-03-18T03:15:00Z,2026-03-18T03:30:00Z
KXBTC15M-26MAR172315-15,no,2026-03-18T03:00:00Z,2026-03-18T03:15:00Z
KXBTC15M-26MAR172300-00,no,2026-03-18T02:45:00Z,2026-03-18T03:00:00Z
KXBTC15M-26MAR172245-45,yes,2026-03-18T02:30:00Z,2026-03-18T02:45:00Z
KXBTC15M-26MAR172230-30,no,2026-03-18T02:15:00Z,2026-03-18T02:30:00Z
KXBTC15M-26MAR172215-15,yes,2026-03-18T02:00:00Z,2026-03-18T02:15:00Z
KXBTC15M-26MAR172200-00,no,2026-03-18T01:45:00Z,2026-03-18T02:00:00Z
KXBTC15M-26MAR172145-45,yes,2026-03-18T01:30:00Z,2026-03-18T01:45:00Z
KXBTC15M-26MAR172130-30,yes,2026-03-18T01:15:00Z,2026-03-18T01:30:00Z
KXBTC15M-26MAR172115-15,yes,2026-03-18T01:00:00Z,2026-03-18T01:15:00Z
KXBTC15M-26MAR172100-00,yes,2026-03-18T00:45:00Z,2026-03-18T01:00:00Z
KXBTC15M-26MAR172045-45,no,2026-03-18T00:30:00Z,2026-03-18T00:45:00Z
KXBTC15M-26MAR172030-30,no,2026-03-18T00:15:00Z,2026-03-18T00:30:00Z
KXBTC15M-26MAR172015-15,yes,2026-03-18T00:00:00Z,2026-03-18T00:15:00Z
KXBTC15M-26MAR172000-00,no,2026-03-17T23:45:00Z,2026-03-18T00:00:00Z
KXBTC15M-26MAR171945-45,no,2026-03-17T23:30:00Z,2026-03-17T23:45:00Z
KXBTC15M-26MAR171930-30,no,2026-03-17T23:15:00Z,2026-03-17T23:30:00Z
KXBTC15M-26MAR171915-15,yes,2026-03-17T23:00:00Z,2026-03-17T23:15:00Z
KXBTC15M-26MAR171900-00,yes,2026-03-17T22:45:00Z,2026-03-17T23:00:00Z
KXBTC15M-26MAR171845-45,no,2026-03-17T22:30:00Z,2026-03-17T22:45:00Z
KXBTC15M-26MAR171830-30,no,2026-03-17T22:15:00Z,2026-03-17T22:30:00Z
KXBTC15M-26MAR171815-15,no,2026-03-17T22:00:00Z,2026-03-17T22:15:00Z
KXBTC15M-26MAR171800-00,no,2026-03-17T21:45:00Z,2026-03-17T22:00:00Z
KXBTC15M-26MAR171745-45,yes,2026-03-17T21:30:00Z,2026-03-17T21:45:00Z
KXBTC15M-26MAR171730-30,no,2026-03-17T21:15:00Z,2026-03-17T21:30:00Z
KXBTC15M-26MAR171715-15,yes,2026-03-17T21:00:00Z,2026-03-17T21:15:00Z
KXBTC15M-26MAR171700-00,yes,2026-03-17T20:45:00Z,2026-03-17T21:00:00Z
KXBTC15M-26MAR171645-45,no,2026-03-17T20:30:00Z,2026-03-17T20:45:00Z
KXBTC15M-26MAR171630-30,yes,2026-03-17T20:15:00Z,2026-03-17T20:30:00Z
KXBTC15M-26MAR171615-15,no,2026-03-17T20:00:00Z,2026-03-17T20:15:00Z
KXBTC15M-26MAR171600-00,no,2026-03-17T19:45:00Z,2026-03-17T20:00:00Z
KXBTC15M-26MAR171545-45,yes,2026-03-17T19:30:00Z,2026-03-17T19:45:00Z
KXBTC15M-26MAR171530-30,no,2026-03-17T19:15:00Z,2026-03-17T19:30:00Z
KXBTC15M-26MAR171515-15,yes,2026-03-17T19:00:00Z,2026-03-17T19:15:00Z
KXBTC15M-26MAR171500-00,yes,2026-03-17T18:45:00Z,2026-03-17T19:00:00Z
KXBTC15M-26MAR171445-45,yes,2026-03-17T18:30:00Z,2026-03-17T18:45:00Z
KXBTC15M-26MAR171430-30,no,2026-03-17T18:15:00Z,2026-03-17T18:30:00Z
KXBTC15M-26MAR171415-15,yes,2026-03-17T18:00:00Z,2026-03-17T18:15:00Z
KXBTC15M-26MAR171400-00,yes,2026-03-17T17:45:00Z,2026-03-17T18:00:00Z
KXBTC15M-26MAR171345-45,yes,2026-03-17T17:30:00Z,2026-03-17T17:45:00Z
KXBTC15M-26MAR171330-30,yes,2026-03-17T17:15:00Z,2026-03-17T17:30:00Z
KXBTC15M-26MAR171315-15,yes,2026-03-17T17:00:00Z,2026-03-17T17:15:00Z
KXBTC15M-26MAR171300-00,yes,2026-03-17T16:45:00Z,2026-03-17T17:00:00Z
KXBTC15M-26MAR171245-45,no,2026-03-17T16:30:00Z,2026-03-17T16:45:00Z
KXBTC15M-26MAR171230-30,yes,2026-03-17T16:15:00Z,2026-03-17T16:30:00Z
KXBTC15M-26MAR171215-15,yes,2026-03-17T16:00:00Z,2026-03-17T16:15:00Z
KXBTC15M-26MAR171200-00,yes,2026-03-17T15:45:00Z,2026-03-17T16:00:00Z
KXBTC15M-26MAR171145-45,no,2026-03-17T15:30:00Z,2026-03-17T15:45:00Z
KXBTC15M-26MAR171130-30,no,2026-03-17T15:15:00Z,2026-03-17T15:30:00Z
KXBTC15M-26MAR171115-15,no,2026-03-17T15:00:00Z,2026-03-17T15:15:00Z
KXBTC15M-26MAR171100-00,yes,2026-03-17T14:45:00Z,2026-03-17T15:00:00Z
KXBTC15M-26MAR171045-45,yes,2026-03-17T14:30:00Z,2026-03-17T14:45:00Z
KXBTC15M-26MAR171030-30,yes,2026-03-17T14:15:00Z,2026-03-17T14:30:00Z
KXBTC15M-26MAR171015-15,yes,2026-03-17T14:00:00Z,2026-03-17T14:15:00Z
KXBTC15M-26MAR171000-00,no,2026-03-17T13:45:00Z,2026-03-17T14:00:00Z
KXBTC15M-26MAR170945-45,yes,2026-03-17T13:30:00Z,2026-03-17T13:45:00Z
KXBTC15M-26MAR170930-30,no,2026-03-17T13:15:00Z,2026-03-17T13:30:00Z
KXBTC15M-26MAR170915-15,yes,2026-03-17T13:00:00Z,2026-03-17T13:15:00Z
KXBTC15M-26MAR170900-00,no,2026-03-17T12:45:00Z,2026-03-17T13:00:00Z
KXBTC15M-26MAR170845-45,yes,2026-03-17T12:30:00Z,2026-03-17T12:45:00Z
KXBTC15M-26MAR170830-30,no,2026-03-17T12:15:00Z,2026-03-17T12:30:00Z
KXBTC15M-26MAR170815-15,yes,2026-03-17T12:00:00Z,2026-03-17T12:15:00Z
KXBTC15M-26MAR170800-00,no,2026-03-17T11:45:00Z,2026-03-17T12:00:00Z
KXBTC15M-26MAR170745-45,yes,2026-03-17T11:30:00Z,2026-03-17T11:45:00Z
KXBTC15M-26MAR170730-30,yes,2026-03-17T11:15:00Z,2026-03-17T11:30:00Z
KXBTC15M-26MAR170715-15,yes,2026-03-17T11:00:00Z,2026-03-17T11:15:00Z
KXBTC15M-26MAR170700-00,yes,2026-03-17T10:45:00Z,2026-03-17T11:00:00Z
