end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1771767060,1,62,1,62,100,100,49,63,51,67,48,63,56,2825,1694
1771767120,62,72,36,36,63,73,37,37,62,72,37,37,59,7017,4201
1771767180,36,42,20,20,37,43,21,21,37,43,20,20,32,4673,6331
1771767240,20,33,10,14,21,35,11,15,21,34,11,16,16,10753,12185
1771767300,14,15,10,11,15,16,11,12,14,16,10,12,12,5330,14434
1771767360,11,11,1,3,12,12,2,4,11,12,2,4,3,21974,30512
1771767420,3,3,1,3,4,4,2,4,3,4,1,3,2,4421,31258
1771767480,3,3,2,2,4,4,3,3,3,4,2,2,3,2450,30861
1771767540,2,2,1,1,3,3,2,2,3,3,1,2,2,3610,30506
1771767600,1,1,0,0,2,2,1,1,1,2,1,1,1,4406,33180
1771767660,0,0,0,0,1,1,1,1,1,1,1,1,1,965,33273
1771767720,0,0,0,0,1,1,1,1,1,1,1,1,1,3089,35228
1771767780,0,0,0,0,1,1,1,1,1,1,1,1,1,1228,36456
1771767840,0,0,0,0,1,1,1,1,1,1,1,1,1,590,37016
1771767900,0,0,0,0,1,1,1,1,1,1,1,1,1,1758,38706
