end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772982960,0,54,0,41,99,99,36,42,36,56,36,41,45,5466,3572
1772983020,41,45,40,43,42,47,41,44,42,47,40,44,42,4772,5960
1772983080,43,43,37,39,44,44,38,40,44,44,37,39,40,2809,7300
1772983140,39,45,34,45,40,47,36,47,39,47,34,47,38,4946,9993
1772983200,45,62,45,62,47,64,47,64,46,63,46,63,52,5796,11615
1772983260,62,63,41,46,64,64,43,48,64,64,41,49,50,6747,13306
1772983320,46,47,14,14,48,48,15,15,47,47,15,15,26,21625,18964
1772983380,14,16,11,11,15,19,12,13,14,19,12,12,14,7372,18860
1772983440,11,12,4,7,13,13,5,8,11,13,5,8,8,15524,24748
1772983500,7,17,7,12,8,22,8,13,7,22,7,13,14,17943,32937
1772983560,12,13,7,7,13,14,8,8,13,14,7,8,11,8218,37593
1772983620,7,7,2,2,8,8,3,3,8,8,2,3,3,24608,59177
1772983680,2,2,0,0,3,3,1,1,2,3,1,1,2,14946,68596
1772983740,0,0,0,0,1,1,1,1,1,1,1,1,1,6254,69522
1772983800,0,0,0,0,1,1,1,1,1,1,1,1,1,869,70245
