end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773266460,0,69,0,61,99,99,43,62,47,70,41,62,53,9421,7756
1773266520,61,61,50,55,62,62,51,56,62,62,50,55,54,7314,11494
1773266580,55,55,42,42,56,56,43,44,56,56,42,44,52,4172,13869
1773266640,42,42,33,33,44,45,34,35,42,45,33,36,37,7085,14372
1773266700,33,48,30,48,35,50,31,50,34,50,30,50,40,7667,16306
1773266760,48,48,35,37,50,50,36,39,50,50,35,37,41,6143,17322
1773266820,37,45,27,40,39,47,28,41,37,46,28,41,37,4627,18549
1773266880,40,45,29,30,41,46,30,31,41,46,30,31,39,3219,19349
1773266940,30,36,29,30,31,38,30,31,30,37,29,30,33,3682,19627
1773267000,30,30,11,11,31,32,12,12,31,32,11,12,17,11285,20410
1773267060,11,12,7,11,12,14,9,14,12,14,7,14,11,11020,25251
1773267120,11,16,4,16,14,17,5,17,11,17,4,17,8,10594,33344
1773267180,16,98,16,98,17,99,17,99,16,99,16,98,54,36735,32207
1773267240,98,99,97,99,99,100,98,100,98,99,97,99,99,34599,50302
1773267300,99,99,99,99,100,100,100,100,99,99,99,99,99,19584,68561
