end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765851360,0,20,0,20,80,80,80,80,,,,,,0,0
1765851420,20,20,20,20,80,80,80,80,,,,,,0,0
1765851480,20,20,0,0,80,100,80,100,,,,,,0,0
1765851540,0,0,0,0,100,100,41,41,,,,,,0,0
1765851600,0,0,0,0,41,100,41,100,41,41,41,41,41,2,2
1765851720,0,0,0,0,100,100,100,100,,,,,,0,2
1765851780,0,0,0,0,100,100,10,10,,,,,,0,2
1765851900,0,0,0,0,10,15,10,15,10,10,10,10,10,2,2
1765852020,0,0,0,0,15,100,15,100,15,15,15,15,15,5,7
1765852140,0,59,0,59,100,100,100,100,,,,,,0,7
1765852200,59,98,59,98,100,100,100,100,,,,,,0,7
