end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767331860,34,34,34,34,100,100,60,60,,,,,,0,0
1767331920,34,53,34,53,60,100,56,60,47,59,47,59,58,298,298
1767331980,53,62,52,59,60,66,58,66,60,62,59,62,60,492,789
1767332040,59,67,57,67,66,72,64,68,66,68,58,68,65,84,854
1767332100,67,69,62,68,68,75,68,73,68,68,68,68,68,10,864
1767332160,68,88,67,85,73,99,72,92,75,88,75,88,78,333,969
1767332220,85,92,79,83,92,98,88,96,88,93,88,91,88,134,934
1767332280,83,93,79,80,96,98,89,94,93,93,92,92,92,118,970
1767332340,80,93,78,93,94,99,94,99,,,,,,0,970
1767332400,93,94,84,94,99,99,95,95,93,93,93,93,93,1,971
1767332460,94,98,94,96,95,100,95,100,95,99,95,96,96,237,1076
1767332520,96,97,95,97,100,100,100,100,,,,,,0,1076
1767332580,97,99,96,99,100,100,100,100,,,,,,0,1076
1767332640,99,99,99,99,100,100,100,100,,,,,,0,1076
1767332700,99,99,99,99,100,100,100,100,,,,,,0,1076
