end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1768077960,7,52,7,43,100,100,44,44,52,52,44,44,48,80,79
1768078020,43,44,41,42,44,49,43,43,44,49,42,42,44,534,508
1768078080,42,47,41,45,43,62,43,48,43,62,42,48,48,720,1080
1768078140,45,49,45,47,48,56,48,49,48,49,48,49,49,131,1197
1768078200,47,56,45,52,49,59,46,53,47,58,45,52,52,280,1354
1768078260,52,52,36,36,53,55,38,41,52,52,37,37,42,922,2009
1768078320,36,37,32,32,41,41,36,36,36,39,32,32,34,415,2248
1768078380,32,35,1,31,36,36,33,34,36,36,1,29,28,6900,8230
1768078440,31,49,31,44,34,53,34,45,34,53,34,45,43,1068,8197
1768078500,44,44,36,37,45,45,39,40,44,45,36,36,41,357,8370
1768078560,37,37,10,15,40,40,15,16,36,36,12,16,17,1432,9094
1768078620,15,16,8,9,16,20,10,10,16,17,9,9,14,761,9723
1768078680,9,10,2,3,10,11,3,4,10,10,3,3,6,2229,11823
1768078740,3,3,2,2,4,7,3,3,3,7,2,2,3,1600,13063
1768078800,2,2,0,0,3,8,1,1,2,8,1,1,2,1523,13536
