end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766437260,0,54,0,51,48,100,48,55,48,52,48,49,49,18,18
1766437320,51,54,33,51,55,59,49,55,52,52,49,52,51,136,154
1766437380,51,70,40,66,55,78,55,71,55,70,55,70,59,52,206
1766437440,66,69,57,62,71,78,67,67,71,71,71,71,71,4,202
1766437500,62,65,53,65,67,80,58,66,58,65,58,65,62,109,285
1766437560,65,66,55,64,66,79,61,68,70,70,61,61,68,77,360
1766437620,64,75,57,75,68,87,66,79,70,70,70,70,70,1,360
1766437680,75,80,44,49,79,90,54,54,58,58,58,58,58,11,349
1766437740,49,70,41,70,54,75,54,74,58,72,58,70,64,393,662
1766437800,70,74,49,57,74,85,64,71,74,78,64,72,74,343,929
1766437860,57,67,38,44,71,86,49,53,55,57,47,49,54,167,1079
1766437920,44,45,8,26,53,53,27,27,45,45,26,27,33,76,1129
1766437980,26,30,8,29,27,44,24,44,26,30,24,24,26,84,1164
1766438040,29,29,0,6,44,44,17,17,24,24,1,6,8,133,1231
1766438100,6,6,0,0,17,17,1,6,1,1,1,1,1,50,1259
