end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772453760,1,47,1,41,100,100,42,42,48,48,41,42,44,1418,1035
1772453820,41,41,29,30,42,42,30,32,42,42,30,33,35,2585,2394
1772453880,30,33,21,28,32,34,26,30,30,34,21,29,26,6547,6294
1772453940,28,29,19,19,30,31,21,21,28,30,20,20,26,2781,6805
1772454000,19,23,10,13,21,25,12,15,21,25,10,16,19,3103,8289
1772454060,13,21,13,16,15,23,14,17,14,23,13,18,19,2605,9839
1772454120,16,17,7,8,17,19,8,10,15,19,8,10,15,5894,10374
1772454180,8,8,3,3,10,10,4,4,8,10,4,4,5,4719,12499
1772454240,3,4,3,3,4,5,4,4,3,5,3,4,4,1671,12106
1772454300,3,4,2,2,4,5,3,3,4,4,2,3,3,3991,14647
1772454360,2,2,1,1,3,3,2,2,2,3,1,2,1,3822,17587
1772454420,1,1,0,0,2,2,1,1,1,2,1,1,1,5503,22155
1772454480,0,0,0,0,1,1,1,1,1,1,1,1,1,1564,22441
1772454540,0,0,0,0,1,1,1,1,1,1,1,1,1,387,22441
1772454600,0,0,0,0,1,1,1,1,1,1,1,1,1,38,22421
