end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772628360,1,48,1,36,100,100,34,37,48,53,33,35,37,3901,2691
1772628420,36,36,27,30,37,37,28,31,37,37,28,28,32,5040,5827
1772628480,30,56,29,56,31,57,30,57,30,56,29,56,41,3507,6480
1772628540,56,64,45,49,57,65,50,50,57,65,45,47,53,8502,10042
1772628600,49,77,49,77,50,79,50,78,51,79,51,79,69,8498,10208
1772628660,77,84,70,83,78,85,71,84,77,85,71,80,79,6585,10829
1772628720,83,83,71,79,84,85,73,81,83,83,72,79,78,3436,12024
1772628780,79,89,79,85,81,90,81,86,81,90,79,85,87,7301,11601
1772628840,85,90,84,85,86,91,85,86,86,91,84,84,88,2729,12324
1772628900,85,91,81,91,86,92,82,92,86,92,82,92,87,3912,12138
1772628960,91,93,90,92,92,94,91,93,92,94,91,92,92,5016,15280
1772629020,92,99,92,99,93,100,93,100,93,99,92,99,98,10941,20260
1772629080,99,99,99,99,100,100,100,100,99,99,99,99,99,2358,22156
1772629140,99,99,99,99,100,100,100,100,99,99,99,99,99,31,22171
1772629200,99,99,99,99,100,100,100,100,99,99,99,99,99,321,22264
