end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1768978860,0,35,0,31,99,99,32,34,50,50,28,32,36,166,156
1768978920,31,31,17,17,34,34,18,19,34,34,17,17,23,522,458
1768978980,17,39,14,39,19,47,17,43,17,47,14,39,35,705,902
1768979040,39,71,39,70,43,73,43,73,43,73,39,73,57,1306,1535
1768979100,70,85,70,83,73,87,73,86,73,86,72,85,80,1365,2059
1768979160,83,89,72,85,86,91,77,88,86,91,72,86,81,1481,2588
1768979220,85,87,81,87,88,91,84,91,86,90,83,87,86,630,2812
1768979280,87,87,77,85,91,91,87,88,90,91,78,88,85,578,3002
1768979340,85,89,78,87,88,91,88,89,85,91,81,81,85,649,3232
1768979400,87,92,75,80,89,93,83,83,87,92,81,84,87,928,3466
1768979460,80,80,50,67,83,84,58,71,83,83,50,68,62,1405,3700
1768979520,67,69,14,59,71,77,53,61,71,77,14,64,58,1389,3746
1768979580,59,59,1,1,61,61,2,3,61,61,1,3,17,6754,5325
1768979640,1,2,0,0,3,13,1,1,4,6,1,1,2,3338,7760
1768979700,0,1,0,0,1,53,1,1,1,53,1,1,19,1135,8014
