end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766525460,0,32,0,32,100,100,58,58,32,32,32,32,32,71,71
1766525520,32,41,20,40,58,80,46,48,58,58,38,40,40,16,86
1766525580,40,43,23,38,48,52,45,46,45,45,45,45,45,213,299
1766525640,38,38,16,25,46,46,23,31,26,26,26,26,26,5,304
1766525700,25,25,18,21,31,34,27,29,31,31,31,31,31,76,380
1766525760,21,32,13,27,29,42,28,32,,,,,,0,380
1766525820,27,27,12,17,32,32,21,21,22,22,22,22,22,60,440
1766525880,17,23,10,16,21,25,14,19,,,,,,0,440
1766525940,16,16,5,8,19,24,15,16,13,13,7,7,10,717,805
1766526000,8,8,4,4,16,16,6,6,,,,,,0,805
1766526060,4,4,4,4,6,12,6,6,4,4,4,4,4,5,810
1766526120,4,4,3,3,6,14,5,8,4,12,4,12,11,72,823
1766526180,3,3,3,3,8,16,8,8,3,3,3,3,3,5,823
1766526240,3,3,3,3,8,16,8,16,3,8,3,8,7,78,823
1766526300,3,3,1,1,16,16,3,3,3,3,3,3,3,46,823
