end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767776460,51,51,0,20,100,100,1,23,51,51,1,23,25,73,67
1767776520,20,34,11,32,23,38,22,37,24,38,18,33,27,232,138
1767776580,32,37,26,28,37,41,32,32,32,41,29,29,35,169,151
1767776640,28,28,22,24,32,32,26,28,23,28,23,28,26,60,171
1767776700,24,40,24,39,28,44,28,42,26,41,26,41,37,180,282
1767776760,39,39,29,30,42,44,31,31,39,43,30,32,33,215,391
1767776820,30,30,1,3,31,31,6,6,30,30,5,5,19,235,413
1767776880,3,3,1,2,6,6,2,3,3,3,2,2,3,100,434
1767776940,2,2,1,2,3,3,2,3,2,3,2,2,2,74,478
1767777000,2,2,1,1,3,3,2,2,2,2,1,1,1,9,482
1767777060,1,1,1,1,2,2,2,2,1,1,1,1,1,27,509
1767777120,1,1,1,1,2,2,2,2,1,1,1,1,1,85,573
1767777180,1,1,0,0,2,2,1,1,1,1,1,1,1,9,573
1767777240,0,0,0,0,1,1,1,1,,,,,,0,573
1767777300,0,0,0,0,1,1,1,1,,,,,,0,573
