end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772640960,1,63,1,59,100,100,52,61,52,66,52,60,59,3378,2193
1772641020,59,75,59,75,61,77,60,77,61,76,59,75,69,7097,6238
1772641080,75,77,67,70,77,79,70,73,77,79,68,74,74,2940,6374
1772641140,70,71,57,63,73,75,60,65,74,74,58,64,66,11462,15731
1772641200,63,67,45,57,65,72,55,59,65,69,45,56,58,6576,17252
1772641260,57,59,45,59,58,63,51,60,60,62,48,61,55,2976,17024
1772641320,59,60,15,17,60,64,18,20,59,63,16,17,36,8905,18417
1772641380,17,27,12,27,20,29,14,29,17,27,12,27,18,3564,18576
1772641440,27,38,19,26,29,42,22,29,25,41,21,29,28,5503,21052
1772641500,26,29,17,17,29,32,18,20,29,30,17,21,24,7998,24950
1772641560,17,46,17,34,20,50,18,38,18,48,17,34,34,12911,26098
1772641620,34,64,29,51,38,66,34,52,33,66,33,51,51,4402,26104
1772641680,51,92,32,88,52,94,34,91,51,94,32,91,83,18231,27441
1772641740,88,98,85,98,91,99,87,99,91,99,85,99,96,26220,29081
1772641800,98,99,95,98,99,100,97,100,98,99,95,98,98,10723,36260
