end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1773015360,1,94,1,56,100,100,35,57,94,94,35,57,57,8317,5202
1773015420,56,56,31,51,57,57,32,52,57,57,31,50,44,14540,8526
1773015480,51,54,30,32,52,55,31,34,51,55,30,31,43,4312,10742
1773015540,32,64,32,56,34,65,34,57,33,64,32,57,50,10955,15831
1773015600,56,56,30,30,57,57,30,31,56,56,30,31,43,6751,16970
1773015660,30,33,12,17,31,34,13,19,31,33,12,17,24,21369,21090
1773015720,17,30,17,29,19,31,18,31,18,31,17,30,25,10379,25846
1773015780,30,31,19,29,31,32,20,32,30,32,19,32,27,4670,26029
1773015840,29,29,7,7,32,32,8,8,32,32,7,7,17,5947,26717
1773015900,7,7,1,1,8,10,2,2,7,10,1,1,3,22665,36103
1773015960,1,1,0,0,2,2,1,1,1,2,1,1,1,15148,43720
1773016020,0,0,0,0,1,2,1,1,1,2,1,1,1,49636,85332
1773016080,0,1,0,0,1,2,1,1,1,2,1,1,1,13403,95968
1773016140,0,0,0,0,1,1,1,1,1,1,1,1,1,8752,102508
1773016200,0,0,0,0,1,1,1,1,1,1,1,1,1,1603,103589
