end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766313060,52,52,33,33,100,100,59,59,52,52,33,33,41,21,21
1766313120,33,43,28,34,59,59,38,38,43,43,33,33,33,466,487
1766313180,34,34,25,25,38,44,26,27,38,38,38,38,38,25,512
1766313240,25,25,4,8,27,36,6,11,26,26,6,6,17,254,671
1766313300,8,10,3,5,11,24,6,7,10,20,3,20,11,83,706
1766313360,5,7,5,5,7,19,7,8,9,17,7,17,14,71,777
1766313420,5,14,3,14,8,15,4,15,5,15,4,15,15,652,845
1766313480,14,28,12,27,15,29,15,29,15,28,15,28,19,606,557
1766313540,27,49,17,30,29,56,29,56,29,50,29,50,40,495,727
1766313600,30,59,30,47,56,86,49,49,55,60,48,48,55,328,704
1766313660,47,68,47,55,49,79,49,56,47,68,47,55,65,273,766
1766313720,55,74,55,59,56,80,56,60,55,73,55,63,64,224,749
1766313780,59,75,47,70,60,77,60,75,60,75,51,75,66,354,1014
1766313840,70,70,37,37,75,76,45,76,60,60,37,37,49,79,995
1766313900,37,37,0,0,76,76,5,30,37,37,1,1,21,129,983
