end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1772663460,1,47,1,42,100,100,37,43,47,48,29,42,43,10191,6827
1772663520,42,43,27,33,43,48,29,35,43,47,27,34,39,12453,14366
1772663580,33,34,26,27,35,36,28,28,33,36,26,27,33,9884,23132
1772663640,27,27,15,15,28,28,16,16,27,28,15,16,18,15946,29557
1772663700,15,16,11,11,16,17,12,12,16,17,11,12,14,19527,44580
1772663760,11,11,4,6,12,13,5,7,11,11,4,7,8,28017,59244
1772663820,6,9,4,8,7,11,5,10,6,11,5,10,8,17149,72827
1772663880,8,9,4,5,11,11,5,6,10,11,4,6,7,7696,76699
1772663940,5,5,2,2,6,6,3,3,5,5,2,3,4,17023,85915
1772664000,2,3,1,2,3,5,2,3,3,4,1,3,2,7467,91170
1772664060,2,4,1,1,3,5,2,2,2,5,1,2,3,19447,107342
1772664120,1,1,1,1,2,2,2,2,1,2,1,1,1,6660,109701
1772664180,1,1,0,0,2,2,1,1,2,2,1,1,1,4685,110208
1772664240,0,0,0,0,1,1,1,1,1,1,1,1,1,561,110599
1772664300,0,0,0,0,1,1,1,1,1,1,1,1,1,410,110988
