end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1767046560,0,53,0,46,100,100,69,69,,,,,,0,0
1767046620,46,68,46,51,69,75,60,74,61,74,61,74,68,100,94
1767046680,51,59,46,57,74,75,66,69,,,,,,0,94
1767046740,57,63,54,63,69,69,69,69,69,69,69,69,69,72,166
1767046800,63,69,55,65,69,75,62,70,69,74,62,69,69,264,430
1767046860,65,68,62,62,70,81,66,81,66,79,65,65,71,160,565
1767046920,62,80,62,80,81,82,81,82,81,81,72,81,81,713,1143
1767046980,80,92,72,87,82,96,80,96,82,91,79,91,82,361,1457
1767047040,87,93,72,93,96,98,91,98,92,92,92,92,92,35,1492
1767047100,93,96,92,96,98,99,98,99,96,98,96,96,96,70,1493
1767047160,96,96,92,92,99,99,98,98,,,,,,0,1493
1767047220,92,96,92,93,98,99,98,98,,,,,,0,1493
1767047280,93,93,93,93,98,99,98,99,98,99,98,99,99,208,1701
1767047340,93,99,93,99,99,100,97,100,99,99,97,99,98,307,1901
1767047400,99,99,99,99,100,100,100,100,,,,,,0,1901
