end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1768146360,7,44,7,41,100,100,41,43,90,90,40,44,44,50,44
1768146420,41,60,41,60,43,61,42,61,42,58,42,58,50,520,388
1768146480,60,71,59,71,61,72,60,72,61,72,60,72,64,219,479
1768146540,71,73,8,16,72,80,12,17,73,74,11,13,40,2162,1727
1768146600,16,25,14,21,17,31,16,23,16,30,16,21,25,569,2041
1768146660,21,27,17,25,23,28,19,26,23,23,19,23,21,222,2192
1768146720,25,26,21,26,26,28,22,27,26,27,22,27,25,910,2958
1768146780,26,36,18,33,27,39,21,35,28,36,19,34,29,442,2954
1768146840,33,34,32,33,35,38,34,36,33,36,33,33,34,279,3026
1768146900,33,37,22,22,36,39,24,24,36,39,27,27,34,450,3104
1768146960,22,22,19,20,24,24,21,21,22,22,20,20,21,750,2971
1768147020,20,37,20,37,21,39,21,38,20,38,20,37,29,551,2968
1768147080,37,71,33,70,38,72,37,72,38,72,33,72,52,2023,2846
1768147140,70,96,70,89,72,97,72,93,72,96,71,89,86,2531,3616
1768147200,89,99,56,99,93,100,93,100,89,99,57,99,98,1302,4296
