end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765677660,43,45,0,37,100,100,53,53,,,,,,0,0
1765677720,37,38,0,38,53,100,45,54,,,,,,0,0
1765677780,38,57,0,57,54,100,54,75,75,75,75,75,75,1,1
1765677840,57,62,0,62,75,100,75,77,,,,,,0,1
1765677900,62,64,0,64,77,100,77,81,,,,,,0,1
1765677960,64,79,0,79,81,100,77,98,,,,,,0,1
1765678020,79,79,0,79,98,100,94,98,,,,,,0,1
1765678080,79,85,0,79,98,100,97,97,,,,,,0,1
1765678140,79,79,0,75,97,100,93,93,,,,,,0,1
1765678200,75,79,0,79,93,100,93,97,,,,,,0,1
1765678260,79,84,0,84,97,100,96,100,,,,,,0,1
1765678320,84,90,0,90,100,100,100,100,,,,,,0,1
1765678380,90,92,0,92,100,100,100,100,,,,,,0,1
1765678440,92,92,0,89,100,100,100,100,,,,,,0,1
1765678500,89,89,0,0,100,100,100,100,,,,,,0,1
