end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765826160,44,52,0,48,100,100,59,65,,,,,,0,0
1765826220,48,58,0,50,65,100,63,67,67,67,67,67,67,3,3
1765826280,50,50,0,44,67,100,59,61,,,,,,0,3
1765826340,44,65,0,65,61,100,60,83,,,,,,0,3
1765826400,65,81,0,79,83,100,83,99,75,75,75,75,75,10,10
1765826460,79,81,65,73,99,100,93,93,,,,,,0,10
1765826520,73,83,0,83,93,100,88,100,97,99,97,99,98,3,10
1765826580,83,87,0,87,100,100,98,100,83,83,83,83,83,55,65
1765826640,87,91,0,91,100,100,100,100,,,,,,0,65
1765826700,91,93,79,93,100,100,100,100,,,,,,0,65
1765826760,93,93,76,91,100,100,100,100,,,,,,0,65
1765826820,91,93,0,93,100,100,100,100,,,,,,0,65
1765826880,93,93,93,93,100,100,100,100,93,93,93,93,93,70,132
1765826940,93,93,79,88,100,100,100,100,,,,,,0,132
1765827000,88,88,0,0,100,100,100,100,,,,,,0,132
