end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766879160,47,47,47,47,100,100,75,75,,,,,,0,0
1766879220,47,62,0,62,75,100,63,63,,,,,,0,0
1766879280,62,96,61,71,63,100,63,100,64,80,64,80,71,170,120
1766879340,72,95,72,83,100,100,87,92,,,,,,0,120
1766879400,83,86,78,83,92,93,87,89,92,92,92,92,92,43,163
1766879460,83,93,81,93,89,99,89,94,91,96,89,96,92,118,211
1766879520,93,93,82,90,94,97,93,94,,,,,,0,211
1766879580,90,94,90,94,94,96,93,95,,,,,,0,211
1766879640,94,94,92,92,95,100,93,93,93,93,93,93,93,30,241
1766879700,92,92,92,92,93,99,93,99,,,,,,0,241
1766879760,92,96,92,96,99,100,99,100,,,,,,0,241
1766879820,96,96,91,92,100,100,100,100,,,,,,0,241
1766879880,92,92,85,85,100,100,100,100,,,,,,0,241
1766879940,85,85,63,63,100,100,100,100,,,,,,0,241
1766880000,63,63,63,63,100,100,100,100,,,,,,0,241
