end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765512060,33,35,0,33,100,100,49,49,,,,,,0,0
1765512120,33,50,0,50,49,100,49,66,,,,,,0,0
1765512180,50,50,0,39,66,100,55,55,,,,,,0,0
1765512240,39,48,0,48,55,100,46,64,,,,,,0,0
1765512300,48,64,0,44,64,100,55,62,,,,,,0,0
1765512360,44,44,0,39,62,100,49,56,,,,,,0,0
1765512420,39,41,0,24,56,100,36,43,,,,,,0,0
1765512480,24,40,0,32,43,100,43,51,32,32,32,32,32,14,14
1765512540,32,32,0,26,51,100,44,44,,,,,,0,14
1765512600,26,36,0,32,44,100,42,50,,,,,,0,14
1765512660,32,41,0,25,50,100,44,44,,,,,,0,14
1765512720,25,40,0,23,44,100,41,42,,,,,,0,14
1765512780,23,23,0,3,42,100,22,22,,,,,,0,14
1765512840,3,6,0,0,22,100,20,25,,,,,,0,14
1765512900,0,0,0,0,25,100,25,100,,,,,,0,14
