end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766073660,38,39,0,31,100,100,56,65,,,,,,0,0
1766073720,31,42,0,0,65,100,35,60,,,,,,0,0
1766073780,0,33,0,12,60,100,43,48,,,,,,0,0
1766073840,12,59,0,18,48,100,43,54,26,26,26,26,26,19,19
1766073900,18,66,0,56,54,100,50,59,,,,,,0,19
1766073960,56,58,0,17,59,100,39,100,,,,,,0,19
1766074020,17,51,0,8,100,100,44,44,69,69,69,69,69,3,19
1766074080,8,75,0,43,44,100,41,66,57,57,57,57,57,3,19
1766074140,43,65,0,48,66,100,53,84,,,,,,0,19
1766074200,48,51,0,15,84,100,51,55,,,,,,0,19
1766074260,15,43,0,0,55,100,21,29,,,,,,0,19
1766074320,0,49,0,38,29,100,27,100,37,37,37,37,37,3,19
1766074380,38,46,0,5,100,100,38,45,,,,,,0,19
1766074440,5,5,0,0,45,100,21,22,,,,,,0,19
1766074500,0,0,0,0,22,100,22,100,,,,,,0,19
