end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766502960,56,64,0,0,100,100,83,100,,,,,,0,0
1766503020,0,84,0,84,100,100,78,91,65,81,65,80,79,55,55
1766503080,84,86,71,75,91,94,83,88,85,85,73,73,78,92,147
1766503140,75,75,72,74,88,90,83,89,,,,,,0,147
1766503200,74,83,72,82,89,97,88,94,,,,,,0,147
1766503260,82,87,76,83,94,100,93,98,,,,,,0,147
1766503320,83,85,80,83,98,98,92,94,,,,,,0,147
1766503380,83,87,76,81,94,98,92,96,,,,,,0,147
1766503440,81,84,66,80,96,97,86,94,,,,,,0,147
1766503500,80,83,71,82,94,97,87,97,,,,,,0,147
1766503560,82,85,61,79,97,98,88,93,,,,,,0,147
1766503620,79,88,79,87,93,100,93,100,,,,,,0,147
1766503680,87,87,87,87,100,100,100,100,,,,,,0,147
1766503740,87,87,20,50,100,100,100,100,,,,,,0,147
