end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1765478760,41,41,0,21,100,100,35,39,,,,,,0,0
1765478820,21,49,0,47,39,100,39,63,,,,,,0,0
1765478880,47,54,0,0,63,100,63,100,,,,,,0,0
1765478940,0,47,0,1,100,100,23,27,,,,,,0,0
1765479000,1,10,0,4,27,100,27,30,,,,,,0,0
1765479060,4,10,0,10,30,100,27,33,,,,,,0,0
1765479120,10,10,0,0,33,100,13,13,,,,,,0,0
1765479180,0,0,0,0,13,100,12,12,,,,,,0,0
1765479240,0,0,0,0,12,100,10,10,,,,,,0,0
1765479540,0,0,0,0,10,100,10,14,,,,,,0,0
1765479600,0,0,0,0,14,100,14,100,,,,,,0,0
