end_period_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,volume,open_interest
1766495760,56,56,56,56,100,100,68,68,,,,,,0,0
1766495820,56,56,0,27,68,100,34,36,56,56,50,50,55,8,8
1766495880,27,47,20,27,36,70,31,32,,,,,,0,8
1766495940,27,31,23,31,32,50,32,40,,,,,,0,8
1766496000,31,62,20,62,40,72,38,65,62,62,62,62,62,6,14
1766496060,62,62,21,45,65,75,42,55,62,62,62,62,62,3,17
1766496120,45,46,7,7,55,59,17,17,,,,,,0,17
1766496180,7,20,0,13,17,49,1,26,11,25,1,25,16,181,184
1766496240,13,16,2,11,26,59,17,17,13,16,13,16,13,48,232
1766496300,11,18,0,4,17,22,1,20,16,18,1,1,15,170,392
1766496360,4,17,0,6,20,20,18,20,15,15,1,1,13,85,467
1766496420,6,12,0,0,20,21,13,13,,,,,,0,467
1766496480,0,0,0,0,13,13,13,13,,,,,,0,467
1766496540,0,60,0,52,13,100,13,77,20,58,20,58,53,24,465
1766496600,52,52,0,0,77,100,74,100,,,,,,0,465
